ID,Team1,Team2,Season,City,MatchNumber,TossWinner,TossDecision,WinningTeam,Team1BattingAverage,Team2BattingAverage,Team1BowlingAverage,Team2BowlingAverage,Team1StrikeRate,Team2StrikeRate,Team1EconomyRate,Team2EconomyRate,BattingFirst,BowlingFirst,TossWinnner,Result,WinningPercentage_x,WinningPercentage_y,HomeGround,Team1Wins,Team2Wins,Matches,Team1WinPercent,Team2WinPercent
1312200,Rajasthan Royals,Gujarat Titans,2022,Ahmedabad,Final,Rajasthan Royals,bat,Gujarat Titans,29.62184850209259,22.97834439487905,27.15801227173996,28.62522629173945,132.1572309195685,130.1023455716831,8.297760672713844,7.989767048527249,Team1,Team2,Team1,Team2,50.24,57.14,Team2,1,4,5,0.2,0.8
1312197,Rajasthan Royals,Gujarat Titans,2022,Kolkata,Qualifier,Gujarat Titans,field,Gujarat Titans,29.62184850209259,22.97834439487905,27.158012271739967,28.421110232360235,132.1572309195685,130.1023455716831,8.297760672713844,8.123669740038636,Team1,Team2,Team2,Team2,50.24,57.14,Neutral,1,4,5,0.2,0.8
1312199,Royal Challengers Bangalore,Rajasthan Royals,2022,Ahmedabad,Qualifier,Rajasthan Royals,field,Rajasthan Royals,26.32904076779922,29.62184850209259,29.144175776972162,27.158012271739967,132.52239934653704,132.1572309195685,8.212215625271263,8.297760672713844,Team1,Team2,Team2,Team2,49.79,50.24,Neutral,15,12,30,0.5,0.4
1175369,Royal Challengers Bangalore,Rajasthan Royals,2019,Jaipur,League Match,Rajasthan Royals,field,Rajasthan Royals,25.868198735761425,28.21415959225866,30.8498692512743,23.1102316283373,129.1398482298371,132.52605244716557,8.197373730398064,8.16887861944213,Team1,Team2,Team2,Team2,49.79,50.24,Team2,15,12,30,0.5,0.4
829819,Royal Challengers Bangalore,Rajasthan Royals,2015,Pune,Eliminator,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,24.927101979090505,24.85948654389054,30.02579272354846,28.562840902596896,127.15507540445797,128.55752437127228,7.820903519263051,7.96874882906104,Team1,Team2,Team1,Team1,49.79,50.24,Neutral,15,12,30,0.5,0.4
733999,Royal Challengers Bangalore,Rajasthan Royals,2014,Bangalore,League Match,Royal Challengers Bangalore,bat,Rajasthan Royals,27.914064036302296,20.73708412902677,28.888853070840696,30.42044931876161,131.61812702253607,133.10984745303472,7.8775400474198625,8.27130208279657,Team1,Team2,Team1,Team2,49.79,50.24,Team1,15,12,30,0.5,0.4
598023,Royal Challengers Bangalore,Rajasthan Royals,2013,Bangalore,League Match,Royal Challengers Bangalore,field,Royal Challengers Bangalore,22.939892293794735,23.325620793172885,33.90877033885655,30.05515151051136,128.02644939275174,123.57081171327135,8.300765899753477,7.725415843436828,Team2,Team1,Team1,Team1,49.79,50.24,Team1,15,12,30,0.5,0.4
548324,Royal Challengers Bangalore,Rajasthan Royals,2012,Bangalore,League Match,Rajasthan Royals,bat,Rajasthan Royals,21.49100620306663,25.420481457066824,30.36322724546409,25.823839521092715,126.36999128536377,117.44845689667513,7.428483104456563,7.610349642810719,Team2,Team1,Team2,Team2,49.79,50.24,Team1,15,12,30,0.5,0.4
419115,Royal Challengers Bangalore,Rajasthan Royals,2009/10,Bangalore,League Match,Royal Challengers Bangalore,field,Royal Challengers Bangalore,18.79536921151439,25.76786393462344,26.104335162229898,26.595466871663767,126.1554891879631,131.29287819527028,7.318751404878611,8.267859270927557,Team2,Team1,Team1,Team1,49.79,50.24,Team1,15,12,30,0.5,0.4
392213,Royal Challengers Bangalore,Rajasthan Royals,2009,Centurion,League Match,Rajasthan Royals,field,Rajasthan Royals,26.733752948271245,26.525210818593177,32.04977966701798,28.090498415442234,125.95325853653239,130.76626353901494,7.887299719349694,8.17705484929984,Team1,Team2,Team2,Team2,49.79,50.24,Neutral,15,12,30,0.5,0.4
392182,Royal Challengers Bangalore,Rajasthan Royals,2009,Cape Town,League Match,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,24.873845402872618,21.504286586116578,24.691488174921908,26.693788994638943,124.09326330117064,131.43927562666192,8.182106835254208,7.2867353107561526,Team1,Team2,Team1,Team1,49.79,50.24,Neutral,15,12,30,0.5,0.4
335992,Royal Challengers Bangalore,Rajasthan Royals,2007/08,Bangalore,League Match,Rajasthan Royals,field,Rajasthan Royals,26.236679864253396,25.23661448344714,27.906566791510613,25.88425925925926,130.0096282536139,126.88708310562636,7.983058436975843,8.234682726440285,Team1,Team2,Team2,Team2,49.79,50.24,Team1,15,12,30,0.5,0.4
1312198,Royal Challengers Bangalore,Lucknow Super Giants,2022,Kolkata,Eliminator,Lucknow Super Giants,field,Royal Challengers Bangalore,26.32904076779922,23.613196593490915,29.144175776972162,26.77775451784613,132.52239934653704,130.17164702365397,8.212215625271261,7.878187773355404,Team1,Team2,Team2,Team1,49.79,58.62,Neutral,3,1,4,0.75,0.25
1304077,Royal Challengers Bangalore,Lucknow Super Giants,2022,Mumbai,League Match,Lucknow Super Giants,field,Royal Challengers Bangalore,26.32904076779922,24.15477317006749,29.144175776972162,28.78591778315225,132.52239934653704,128.80512889074546,8.212215625271261,8.21490987086221,Team1,Team2,Team2,Team1,49.79,58.62,Neutral,3,1,4,0.75,0.25
1304116,Sunrisers Hyderabad,Punjab Kings,2022,Mumbai,League Match,Sunrisers Hyderabad,bat,Punjab Kings,24.2972972972973,28.461176864824,28.738899806334015,23.491666666666664,137.04268292682926,130.14069553034878,7.883252714835322,8.144405750823623,Team1,Team2,Team1,Team2,44.39,45.68,Neutral,14,7,21,0.6666666666666666,0.3333333333333333
1216542,Sunrisers Hyderabad,Punjab Kings,2020/21,Dubai,League Match,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,30.643196080696082,25.31527558630362,25.09750380415324,31.310753378121802,128.8830149796367,132.66673378958467,7.7888699331161275,8.008453190854054,Team1,Team2,Team1,Team1,44.39,45.68,Neutral,14,7,21,0.6666666666666666,0.3333333333333333
1178423,Sunrisers Hyderabad,Punjab Kings,2019,Hyderabad,League Match,Punjab Kings,field,Sunrisers Hyderabad,24.058501854194027,22.919582201193403,26.134002637919494,29.83153295277905,138.10134940079922,134.14035168190372,7.969720642223229,7.838950724518597,Team1,Team2,Team2,Team1,44.39,45.68,Team1,14,7,21,0.6666666666666666,0.3333333333333333
1178397,Sunrisers Hyderabad,Punjab Kings,2019,Chandigarh,League Match,Punjab Kings,field,Punjab Kings,28.403811069133653,24.058501854194024,30.1969761480595,28.12309010734186,131.0725454360129,138.10134940079922,7.987985200742133,8.126767534306165,Team1,Team2,Team2,Team2,44.39,45.68,Neutral,14,7,21,0.6666666666666666,0.3333333333333333
1136585,Sunrisers Hyderabad,Punjab Kings,2018,Hyderabad,League Match,Punjab Kings,field,Sunrisers Hyderabad,27.35209287456135,22.303072403202535,32.36984387767521,29.69825349030125,131.54860094197127,128.16439073961843,8.273663447831394,7.703115281479757,Team1,Team2,Team2,Team1,44.39,45.68,Team1,14,7,21,0.6666666666666666,0.3333333333333333
1082609,Sunrisers Hyderabad,Punjab Kings,2017,Hyderabad,League Match,Punjab Kings,field,Sunrisers Hyderabad,24.36000300763551,24.671378977965578,27.652752675801395,29.11810776942356,129.7535271847937,124.83934481097806,7.988534813762397,8.135150342201698,Team1,Team2,Team2,Team1,44.39,45.68,Team1,14,7,21,0.6666666666666666,0.3333333333333333
