Team1,Team2,Team1Wins,Team2Wins,Matches
Chennai Super Kings,Delhi Capitals,19,10,29
Chennai Super Kings,Gujarat Titans,2,3,5
Chennai Super Kings,Kolkata Knight Riders,18,10,29
Chennai Super Kings,Lucknow Super Giants,1,1,3
Chennai Super Kings,Mumbai Indians,16,20,36
Chennai Super Kings,Punjab Kings,15,13,28
Chennai Super Kings,Rajasthan Royals,15,13,28
Chennai Super Kings,Royal Challengers Bangalore,20,10,31
Chennai Super Kings,Sunrisers Hyderabad,14,5,19
Chennai Super Kings,Kochi Tuskers Kerala,1,1,2
Chennai Super Kings,Pune Warriors,2,1,3
Chennai Super Kings,Rising Pune Supergiants,0,0,0
Delhi Capitals,Chennai Super Kings,10,19,29
Delhi Capitals,Gujarat Titans,1,2,3
Delhi Capitals,Kolkata Knight Riders,15,16,32
Delhi Capitals,Lucknow Super Giants,0,3,3
Delhi Capitals,Mumbai Indians,15,18,33
Delhi Capitals,Punjab Kings,16,16,32
Delhi Capitals,Rajasthan Royals,13,14,27
Delhi Capitals,Royal Challengers Bangalore,11,18,30
Delhi Capitals,Sunrisers Hyderabad,11,12,23
Delhi Capitals,Kochi Tuskers Kerala,0,1,1
Delhi Capitals,Pune Warriors,2,2,4
Delhi Capitals,Rising Pune Supergiants,2,2,4
Gujarat Titans,Chennai Super Kings,3,2,5
Gujarat Titans,Delhi Capitals,2,1,3
Gujarat Titans,Kolkata Knight Riders,2,1,3
Gujarat Titans,Lucknow Super Giants,4,0,4
Gujarat Titans,Mumbai Indians,2,2,4
Gujarat Titans,Punjab Kings,2,1,3
Gujarat Titans,Rajasthan Royals,4,1,5
Gujarat Titans,Royal Challengers Bangalore,2,1,3
Gujarat Titans,Sunrisers Hyderabad,2,1,3
Gujarat Titans,Kochi Tuskers Kerala,0,0,0
Gujarat Titans,Pune Warriors,2,0,2
Gujarat Titans,Rising Pune Supergiants,0,0,0
Kolkata Knight Riders,Chennai Super Kings,10,18,29
Kolkata Knight Riders,Delhi Capitals,16,15,32
Kolkata Knight Riders,Gujarat Titans,1,2,3
Kolkata Knight Riders,Lucknow Super Giants,0,3,3
Kolkata Knight Riders,Mumbai Indians,9,23,32
Kolkata Knight Riders,Punjab Kings,21,11,32
Kolkata Knight Riders,Rajasthan Royals,14,13,28
Kolkata Knight Riders,Royal Challengers Bangalore,18,14,32
Kolkata Knight Riders,Sunrisers Hyderabad,16,9,25
Kolkata Knight Riders,Kochi Tuskers Kerala,0,1,1
Kolkata Knight Riders,Pune Warriors,2,2,4
Kolkata Knight Riders,Rising Pune Supergiants,3,1,4
Lucknow Super Giants,Chennai Super Kings,1,1,3
Lucknow Super Giants,Delhi Capitals,3,0,3
