Player,Runs,BattingAverage,Strike Rate,Runs Conceded,Wickets,BowlingAverage,Economy Rate,PlayerType
KL Rahul,3895.0,39.343434343434346,132.79918172519604,0.0,0.0,0.0,0.0,MainBatsman
LMP Simmons,1079.0,37.206896551724135,122.89293849658314,0.0,0.0,0.0,0.0,MainBatsman
DA Warner,5883.0,36.31481481481482,136.40157662879665,0.0,0.0,0.0,0.0,Finisher
SE Marsh,2489.0,36.072463768115945,130.10977522216413,0.0,0.0,0.0,0.0,MainBatsman
CH Gayle,4997.0,35.43971631205674,142.1217292377702,755.0,18.0,41.94444444444444,7.756849315068493,Finisher
JC Buttler,2832.0,34.96296296296296,144.85933503836316,0.0,0.0,0.0,0.0,Finisher
ML Hayden,1107.0,34.59375,131.94278903456495,0.0,0.0,0.0,0.0,MainBatsman
MEK Hussey,1977.0,34.08620689655172,119.96359223300972,0.0,0.0,0.0,0.0,MainBatsman
RD Gaikwad,1207.0,33.52777777777778,127.72486772486774,0.0,0.0,0.0,0.0,MainBatsman
JM Bairstow,1291.0,33.1025641025641,138.07486631016044,0.0,0.0,0.0,0.0,Finisher
CA Lynn,1329.0,31.642857142857142,136.4476386036961,0.0,0.0,0.0,0.0,Finisher
F du Plessis,3403.0,31.220183486238533,127.16741405082213,0.0,0.0,0.0,0.0,MainBatsman
V Kohli,6634.0,30.855813953488372,125.97797189517661,0.0,0.0,0.0,8.431818181818182,MainBatsman
AB de Villiers,5181.0,30.476470588235294,148.58044164037855,0.0,0.0,0.0,0.0,Finisher
S Dhawan,6244.0,30.458536585365852,122.84084202242771,0.0,0.0,0.0,0.0,MainBatsman
Q de Kock,2767.0,30.07608695652174,130.9512541410317,0.0,0.0,0.0,0.0,MainBatsman
SR Tendulkar,2334.0,29.923076923076923,114.18786692759295,0.0,0.0,0.0,0.0,Batsman
RR Pant,2851.0,29.391752577319586,142.55,0.0,0.0,0.0,0.0,Finisher
