TeamID,Team,Home ground,City,Debut,Total plays,Wins,Lost,Tied,Tie + W,Tie + L,No Result,Winning Percentage,Total title wins,No. of seasons played,Captain,Head coach,Highest score
1,Chennai Super Kings,M. A. Chidambaram Stadium,"Chennai, Tamil Nadu",2008,225,131,91,0,0,1,2,58.96,4,13,M. S. Dhoni,Stephen Fleming,246
2,Delhi Capitals,Arun Jaitley Stadium,"New Delhi, Delhi",2008,238,105,127,0,3,1,2,45.33,0,15,Rishabh Pant,Ricky Ponting,231
3,Gujarat Titans,Narendra Modi Stadium,"Ahmedabad, Gujarat",2022,63,36,26,0,0,1,0,57.14,1,1,Hardik Pandya,Ashish Nehra,199
4,Kolkata Knight Riders,Eden Gardens,"Kolkata, West Bengal",2008,237,119,114,0,1,3,0,51.05,2,15,Shreyas Iyer,Brendon McCullum,245
5,Lucknow Super Giants,BRSABV Ekana Cricket Stadium,"Lucknow, Uttar Pradesh",2022,30,17,12,0,0,0,1,58.62,0,1,KL Rahul,Andy Flower,211
6,Mumbai Indians,Wankhede Stadium,"Mumbai, Maharashtra",2008,247,138,105,0,2,2,0,56.68,5,15,Rohit Sharma,Mahela Jayawardene,235
7,Punjab Kings,Inderjit Singh Bindra Stadium,"Mohali, Punjab",2008,232,104,124,0,3,1,0,45.68,0,15,Mayank Agarwal,Anil Kumble,232
8,Rajasthan Royals,Sawai Mansingh Stadium,"Jaipur, Rajasthan",2008,206,101,100,0,2,1,2,50.24,1,13,Sanju Samson,Kumar Sangakara,226
9,Royal Challengers Bangalore,M. Chinnaswamy Stadium,"Bangalore, Karnataka",2008,241,114,120,0,2,1,4,49.79,0,15,Faf du Plessis,Sanjay Bangar,263
10,Sunrisers Hyderabad,Rajiv Gandhi International Cricket Stadium,"Hyderabad, Telangana",2013,241,107,130,0,1,3,0,44.39,1,10,Kane Williamson,Tom Moody,231
11,Kochi Tuskers Kerala,Nehru Stadium,"Indore, Madhya Pradesh",2011,14,6,8,0,0,0,0,51.12,0,1,Mahela Jayawardene,Geoff Lawson,200
12,Pune Warriors,"Maharashtra Cricket Association Stadium, Pune","Pune, Maharashtra",2011,46,12,33,0,0,0,1,26.66,0,5,Yuvraj Singh,Geoff Marsh,200
13,Rising Pune Supergiants,"Maharashtra Cricket Association Stadium, Pune","Pune, Maharashtra",2016,30,15,15,0,0,0,1,50,0,2,M. S. Dhoni,Geoff Marsh,200
